contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_2865131,binary.seasonlate.and.fall,-7.580926666,3.709493685,8.328062438,0.003903727,0.04706526,Q39Z73,Ornithine carbamoyltransferase {ECO:0000255|HAMAP-Rule:MF_01109},, PF00185;PF02729;, GO:0005737;GO:0016597;GO:0004585;GO:0006526;,  C:cytoplasm;,  F:amino acid binding; F:ornithine carbamoyltransferase activity;,  P:arginine biosynthetic process;
contig-60_4843073,binary.seasonlate.and.fall,-7.578996487,4.581011388,9.221847483,0.002391441,0.031426271,Q4FLM4,30S ribosomal protein S3 {ECO:0000255|HAMAP-Rule:MF_01309},, PF07650;PF00189;, GO:0015935;GO:0003729;GO:0019843;GO:0003735;GO:0006412;,  C:small ribosomal subunit;,  F:mRNA binding; F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_2289320,binary.seasonlate.and.fall,-7.572132465,3.900077677,10.49609204,0.001196273,0.017236609,Q1GK30,30S ribosomal protein S19 {ECO:0000255|HAMAP-Rule:MF_00531},, PF00203;, GO:0015935;GO:0019843;GO:0003735;GO:0006412;,  C:small ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_1475853,binary.seasonlate.and.fall,-7.567883862,3.922006686,17.69424783,2.59E-05,0.000533527,Q1RI04,Replicative DNA helicase,, PF00772;PF03796;, GO:1990077;GO:0005524;GO:0003677;GO:0003678;GO:0006269;,  C:primosome complex;,  F:ATP binding; F:DNA binding; F:DNA helicase activity;,"  P:DNA replication, synthesis of RNA primer;"
contig-60_2348270,binary.seasonlate.and.fall,-7.564982561,3.39422282,11.68300167,0.000630737,0.009792064,,,, , , , , 
contig-60_7056890,binary.seasonlate.and.fall,-7.549154497,3.932783849,12.71665382,0.000362414,0.005961505,P05653,DNA gyrase subunit A {ECO:0000255|HAMAP-Rule:MF_01897},, PF03989;PF00521;, GO:0005694;GO:0005737;GO:0009330;GO:0005524;GO:0003677;GO:0003918;GO:0006265;GO:0006261;,  C:chromosome; C:cytoplasm; C:DNA topoisomerase complex (ATP-hydrolyzing);,  F:ATP binding; F:DNA binding; F:DNA topoisomerase type II (ATP-hydrolyzing) activity;,  P:DNA topological change; P:DNA-dependent DNA replication;
contig-60_1482264,binary.seasonlate.and.fall,-7.533501835,4.298734123,12.50201029,0.000406514,0.006607567,P77938,Probable nicotinate-nucleotide pyrophosphorylase [carboxylating],Quinolinate phosphoribosyltransferase [decarboxylating];, PF01729;PF02749;, GO:0004514;GO:0009435;, ,  F:nicotinate-nucleotide diphosphorylase (carboxylating) activity;,  P:NAD biosynthetic process;
contig-60_1678973,binary.seasonlate.and.fall,-7.529177769,3.940005529,16.37711563,5.19E-05,0.001003538,Q54S83,"Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial {ECO:0000250|UniProtKB:Q7L592}","Mitochondrial dysfunction gene A {ECO:0000303|PubMed:16507593};NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog;", PF02636;, GO:0005739;GO:0035243;GO:0046034;GO:0031154;GO:0006536;GO:0005977;GO:0032981;GO:0010507;GO:0006909;GO:0042331;GO:0006907;GO:0090141;GO:0030435;GO:0043052;,  C:mitochondrion;,  F:protein-arginine omega-N symmetric methyltransferase activity;,  P:ATP metabolic process; P:culmination involved in sorocarp development; P:glutamate metabolic process; P:glycogen metabolic process; P:mitochondrial respiratory chain complex I assembly; P:negative regulation of autophagy; P:phagocytosis; P:phototaxis; P:pinocytosis; P:positive regulation of mitochondrial fission; P:sporulation resulting in formation of a cellular spore; P:thermotaxis;
contig-60_7622446,binary.seasonlate.and.fall,-7.523968123,4.038858911,11.31468517,0.000768965,0.011651823,Q68WT1,DNA helicase II,, PF00580;PF13361;, GO:0005737;GO:0005524;GO:0004003;GO:0003677;GO:0006281;GO:0006268;,  C:cytoplasm;,  F:ATP binding; F:ATP-dependent DNA helicase activity; F:DNA binding;,  P:DNA repair; P:DNA unwinding involved in DNA replication;
contig-60_880724,binary.seasonlate.and.fall,-7.522817527,3.568734546,10.83868495,0.000994013,0.014610569,,,, , , , , 
contig-60_6593362,binary.seasonlate.and.fall,-7.497743539,3.818180626,12.50495883,0.000405873,0.006600411,,,, , , , , 
contig-60_5661832,binary.seasonlate.and.fall,-7.491956183,4.8010579,10.9682064,0.000926884,0.013740631,,,, , , , , 
contig-60_1285269,binary.seasonlate.and.fall,-7.488254691,4.460873803,11.57377675,0.000668884,0.010287108,Q7CIA2 Q74U75,Release factor glutamine methyltransferase {ECO:0000255|HAMAP-Rule:MF_02126},N5-glutamine methyltransferase PrmC {ECO:0000255|HAMAP-Rule:MF_02126};Protein-(glutamine-N5) MTase PrmC {ECO:0000255|HAMAP-Rule:MF_02126};Protein-glutamine N-methyltransferase PrmC {ECO:0000255|HAMAP-Rule:MF_02126};, PF13847;, GO:0003676;GO:0102559;GO:0036009;GO:0018364;, ,  F:nucleic acid binding; F:protein-(glutamine-N5) methyltransferase activity; F:protein-glutamine N-methyltransferase activity;,  P:peptidyl-glutamine methylation;
contig-60_2500983,binary.seasonlate.and.fall,-7.451489907,3.344051183,8.238499402,0.004101102,0.049060933,,,, , , , , 
contig-60_112573,binary.seasonlate.and.fall,-7.450423572,3.657709856,10.64145055,0.001105809,0.016095448,,,, , , , , 
contig-60_3519666,binary.seasonlate.and.fall,-7.448271385,4.531613038,13.77361394,0.000206212,0.003553944,Q4FNP9,Chaperone protein DnaK {ECO:0000255|HAMAP-Rule:MF_00332},HSP70 {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock 70 kDa protein {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock protein 70 {ECO:0000255|HAMAP-Rule:MF_00332};, PF00012;, GO:0005524;GO:0051082;GO:0006457;, ,  F:ATP binding; F:unfolded protein binding;,  P:protein folding;
contig-60_7524957,binary.seasonlate.and.fall,-7.448230009,3.814615932,11.58511943,0.000664817,0.010248529,Q4FPA9,Isoleucine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_02002},Isoleucyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_02002};, PF08264;PF00133;, GO:0005737;GO:0002161;GO:0005524;GO:0004822;GO:0000049;GO:0006428;,  C:cytoplasm;,  F:aminoacyl-tRNA editing activity; F:ATP binding; F:isoleucine-tRNA ligase activity; F:tRNA binding;,  P:isoleucyl-tRNA aminoacylation;
contig-60_6795172,binary.seasonlate.and.fall,-7.446746481,4.000897186,12.06841249,0.000512834,0.008158173,Q2S6P0,ATP synthase gamma chain {ECO:0000255|HAMAP-Rule:MF_00815},ATP synthase F1 sector gamma subunit {ECO:0000255|HAMAP-Rule:MF_00815};F-ATPase gamma subunit {ECO:0000255|HAMAP-Rule:MF_00815};, PF00231;, GO:0005886;GO:0045261;GO:0005524;GO:0046933;GO:0042777;,"  C:plasma membrane; C:proton-transporting ATP synthase complex, catalytic core F(1);","  F:ATP binding; F:proton-transporting ATP synthase activity, rotational mechanism;",  P:plasma membrane ATP synthesis coupled proton transport;
contig-60_2610709,binary.seasonlate.and.fall,-7.440846779,4.001005798,9.020839245,0.002669188,0.034415668,Q28VY3,Chaperone protein DnaK {ECO:0000255|HAMAP-Rule:MF_00332},HSP70 {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock 70 kDa protein {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock protein 70 {ECO:0000255|HAMAP-Rule:MF_00332};, PF00012;, GO:0005524;GO:0051082;GO:0006457;, ,  F:ATP binding; F:unfolded protein binding;,  P:protein folding;
contig-60_2687285,binary.seasonlate.and.fall,-7.432519592,4.043861106,9.038399728,0.00264367,0.034167064,P75820,N-acetylmuramoyl-L-alanine amidase AmiD,, PF01510;, GO:0009279;GO:0019867;GO:0009392;GO:0008745;GO:0008270;GO:0071555;GO:0009253;GO:0009254;,  C:cell outer membrane; C:outer membrane;,  F:N-acetyl-anhydromuramoyl-L-alanine amidase activity; F:N-acetylmuramoyl-L-alanine amidase activity; F:zinc ion binding;,  P:cell wall organization; P:peptidoglycan catabolic process; P:peptidoglycan turnover;
contig-60_4579254,binary.seasonlate.and.fall,-7.428498167,3.749042254,11.59042929,0.000662921,0.010228903,Q92G31,UvrABC system protein A {ECO:0000255|HAMAP-Rule:MF_00205},Excinuclease ABC subunit A {ECO:0000255|HAMAP-Rule:MF_00205};, PF00005;, GO:0005737;GO:0009380;GO:0005524;GO:0016887;GO:0003677;GO:0009381;GO:0008270;GO:0006289;GO:0009432;,  C:cytoplasm; C:excinuclease repair complex;,  F:ATP binding; F:ATPase activity; F:DNA binding; F:excinuclease ABC activity; F:zinc ion binding;,  P:nucleotide-excision repair; P:SOS response;
contig-60_7504638,binary.seasonlate.and.fall,-7.42419753,4.434650534,10.542282,0.001166743,0.016869251,,,, , , , , 
contig-60_2185830,binary.seasonlate.and.fall,-7.403322099,3.834152333,14.93388221,0.000111345,0.002017503,P50939,NADH-quinone oxidoreductase subunit L,NADH dehydrogenase I subunit L;NDH-1 subunit L;, PF00361;PF00662;, GO:0016021;GO:0042717;GO:0008137;GO:0048038;GO:0042773;,  C:integral component of membrane; C:plasma membrane-derived chromatophore membrane;,  F:NADH dehydrogenase (ubiquinone) activity; F:quinone binding;,  P:ATP synthesis coupled electron transport;
contig-60_7522018,binary.seasonlate.and.fall,-7.393977343,4.076478921,12.59605476,0.000386562,0.006320767,,,, , , , , 
contig-60_7411786,binary.seasonlate.and.fall,-7.359852868,3.675407791,14.5325841,0.000137756,0.002460595,,,, , , , , 
contig-60_7764156,binary.seasonlate.and.fall,-7.357829468,3.890756064,8.540848482,0.003472637,0.042958059,,,, , , , , 
contig-60_7380267,binary.seasonlate.and.fall,-7.355332546,4.455802139,11.36262296,0.000749369,0.01139166,,,, , , , , 
contig-60_923332,binary.seasonlate.and.fall,-7.349215668,3.95624186,10.32138305,0.001314977,0.018692923,B4RYQ8 F2G665,Elongation factor Tu {ECO:0000255|HAMAP-Rule:MF_00118},, PF00009;PF03144;PF03143;, GO:0005737;GO:0005525;GO:0003924;GO:0003746;,  C:cytoplasm;,  F:GTP binding; F:GTPase activity; F:translation elongation factor activity;, 
contig-60_3177494,binary.seasonlate.and.fall,-7.312035842,4.015763017,12.46817577,0.000413944,0.006725007,,,, , , , , 
contig-60_2134253,binary.seasonlate.and.fall,-7.311944107,3.495811106,10.04447804,0.001528053,0.02123509,O66126,Farnesyl diphosphate synthase,"(2E,6E)-farnesyl diphosphate synthase;Geranyltranstransferase;", PF00348;, GO:0005737;GO:0004337;GO:0046872;GO:0008299;,  C:cytoplasm;,  F:geranyltranstransferase activity; F:metal ion binding;,  P:isoprenoid biosynthetic process;
contig-60_1302,binary.seasonlate.and.fall,-7.299914791,5.489342939,10.32808836,0.001310208,0.018633193,Q9LN20 Q8LEY1,Probable prolyl 4-hydroxylase 3 {ECO:0000305},, PF13640;, GO:0005783;GO:0005789;GO:0005768;GO:0005794;GO:0016021;GO:0005802;GO:0005506;GO:0031418;GO:0004656;GO:0018401;,  C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:endosome; C:Golgi apparatus; C:integral component of membrane; C:trans-Golgi network;,  F:iron ion binding; F:L-ascorbic acid binding; F:procollagen-proline 4-dioxygenase activity;,  P:peptidyl-proline hydroxylation to 4-hydroxy-L-proline;
contig-60_486600,binary.seasonlate.and.fall,-7.293896608,3.997990842,9.930159519,0.001625924,0.022377568,B4RYQ8 F2G665,Elongation factor Tu {ECO:0000255|HAMAP-Rule:MF_00118},, PF00009;PF03144;PF03143;, GO:0005737;GO:0005525;GO:0003924;GO:0003746;,  C:cytoplasm;,  F:GTP binding; F:GTPase activity; F:translation elongation factor activity;, 
contig-60_654744,binary.seasonlate.and.fall,-7.285390492,3.855890057,14.00908912,0.000181929,0.003177089,,,, , , , , 
contig-60_992479,binary.seasonlate.and.fall,-7.283514071,4.459905596,12.024858,0.000524957,0.008326851,,,, , , , , 
contig-60_5223079,binary.seasonlate.and.fall,-7.278675378,3.9230043,11.7604377,0.00060503,0.009451409,,,, , , , , 
contig-60_629372,binary.seasonlate.and.fall,-7.235810124,3.727727876,12.05963358,0.000515254,0.008188754,Q5LSU1,Lipid-A-disaccharide synthase {ECO:0000255|HAMAP-Rule:MF_00392},, PF02684;, GO:0008915;GO:0009245;, ,  F:lipid-A-disaccharide synthase activity;,  P:lipid A biosynthetic process;
contig-60_4414437,binary.seasonlate.and.fall,-7.224919963,3.588632396,9.713946954,0.001828748,0.024703511,B7GXS7,Lon protease {ECO:0000255|HAMAP-Rule:MF_01973},ATP-dependent protease La {ECO:0000255|HAMAP-Rule:MF_01973};, PF00004;PF05362;PF02190;, GO:0005737;GO:0005524;GO:0004176;GO:0043565;GO:0004252;GO:0034605;GO:0006515;,  C:cytoplasm;,  F:ATP binding; F:ATP-dependent peptidase activity; F:sequence-specific DNA binding; F:serine-type endopeptidase activity;,  P:cellular response to heat; P:protein quality control for misfolded or incompletely synthesized proteins;
contig-60_2703216,binary.seasonlate.and.fall,-7.215219668,3.79215098,14.51573325,0.000138994,0.002480006,Q4UKH4,Signal recognition particle protein {ECO:0000255|HAMAP-Rule:MF_00306},Fifty-four homolog {ECO:0000255|HAMAP-Rule:MF_00306};, PF00448;PF02881;PF02978;, GO:0048500;GO:0008312;GO:0005525;GO:0003924;GO:0006614;,  C:signal recognition particle;,  F:7S RNA binding; F:GTP binding; F:GTPase activity;,  P:SRP-dependent cotranslational protein targeting to membrane;
contig-60_2177989,binary.seasonlate.and.fall,-7.204687644,3.661600885,8.491715462,0.003567673,0.043850085,,,, , , , , 
contig-60_698625,binary.seasonlate.and.fall,-7.204284953,3.59837962,13.33494789,0.000260505,0.004429263,,,, , , , , 
contig-60_2185129,binary.seasonlate.and.fall,-7.199396014,3.431890139,11.69182131,0.000627754,0.009754974,Q4UL62,Replicative DNA helicase,, PF00772;PF03796;, GO:1990077;GO:0005524;GO:0003677;GO:0003678;GO:0006269;,  C:primosome complex;,  F:ATP binding; F:DNA binding; F:DNA helicase activity;,"  P:DNA replication, synthesis of RNA primer;"
contig-60_247,binary.seasonlate.and.fall,-7.196450513,5.306420024,11.1131836,0.000857162,0.012857826,,,, , , , , 
contig-60_1640852,binary.seasonlate.and.fall,-7.184275162,3.750389818,9.131253106,0.002512795,0.03273307,Q4FMW8,GMP synthase [glutamine-hydrolyzing] {ECO:0000255|HAMAP-Rule:MF_00344},GMP synthetase {ECO:0000255|HAMAP-Rule:MF_00344};Glutamine amidotransferase {ECO:0000255|HAMAP-Rule:MF_00344};, PF00117;PF00958;PF02540;, GO:0005524;GO:0003922;GO:0016462;GO:0006541;GO:0006177;, ,  F:ATP binding; F:GMP synthase (glutamine-hydrolyzing) activity; F:pyrophosphatase activity;,  P:glutamine metabolic process; P:GMP biosynthetic process;
contig-60_4719960,binary.seasonlate.and.fall,-7.169475073,4.480534622,11.75945939,0.000605348,0.009451482,P29934,Aerobic cobaltochelatase subunit CobT,"Hydrogenobyrinic acid a,c-diamide cobaltochelatase subunit CobT;", PF06213;PF11775;, GO:0005737;GO:0005524;GO:0051116;GO:0009236;GO:0006779;,  C:cytoplasm;,  F:ATP binding; F:cobaltochelatase activity;,  P:cobalamin biosynthetic process; P:porphyrin-containing compound biosynthetic process;
contig-60_551064,binary.seasonlate.and.fall,-7.165397538,3.786114486,10.39462858,0.001263824,0.018043808,,,, , , , , 
contig-60_1737016,binary.seasonlate.and.fall,-7.152956272,3.467096747,8.763899143,0.003072515,0.038675323,,,, , , , , 
contig-60_6440962,binary.seasonlate.and.fall,-7.148090918,3.44889368,10.87726636,0.000973518,0.014322136,,,, , , , , 
contig-60_5880988,binary.seasonlate.and.fall,-7.148030924,3.577054219,8.440052776,0.003670456,0.0447951,,,, , , , , 
contig-60_132685,binary.seasonlate.and.fall,-7.127287011,3.740916619,12.9825475,0.000314408,0.00526137,,,, , , , , 
contig-60_1614,binary.seasonlate.and.fall,-7.11747658,5.469347301,8.792660775,0.003024448,0.038216651,B4RUH2 F2G4T0,"Tryptophan 2,3-dioxygenase {ECO:0000255|HAMAP-Rule:MF_01972}","Tryptamin 2,3-dioxygenase {ECO:0000255|HAMAP-Rule:MF_01972};Tryptophan oxygenase {ECO:0000255|HAMAP-Rule:MF_01972};Tryptophan pyrrolase {ECO:0000255|HAMAP-Rule:MF_01972};Tryptophanase {ECO:0000255|HAMAP-Rule:MF_01972};", PF03301;, GO:0020037;GO:0046872;GO:0004833;GO:0051289;GO:0019441;, ,"  F:heme binding; F:metal ion binding; F:tryptophan 2,3-dioxygenase activity;",  P:protein homotetramerization; P:tryptophan catabolic process to kynurenine;
contig-60_604781,binary.seasonlate.and.fall,-7.11531481,3.381279161,11.14759495,0.000841407,0.012647074,B2V9E6,4-hydroxythreonine-4-phosphate dehydrogenase {ECO:0000250|UniProtKB:P19624},4-(phosphohydroxy)-L-threonine dehydrogenase {ECO:0000250|UniProtKB:P19624};, PF04166;, GO:0005737;GO:0050570;GO:0046872;GO:0051287;GO:0008615;,  C:cytoplasm;,  F:4-hydroxythreonine-4-phosphate dehydrogenase activity; F:metal ion binding; F:NAD binding;,  P:pyridoxine biosynthetic process;
contig-60_2705340,binary.seasonlate.and.fall,-7.112722467,3.867249718,8.966723251,0.002749413,0.035242664,Q4FNW1,Bifunctional protein FolD {ECO:0000255|HAMAP-Rule:MF_01576},, PF00763;PF02882;, GO:0004477;GO:0004488;GO:0000105;GO:0009086;GO:0006164;GO:0035999;, ,  F:methenyltetrahydrofolate cyclohydrolase activity; F:methylenetetrahydrofolate dehydrogenase (NADP+) activity;,  P:histidine biosynthetic process; P:methionine biosynthetic process; P:purine nucleotide biosynthetic process; P:tetrahydrofolate interconversion;
contig-60_2606594,binary.seasonlate.and.fall,-7.109989278,6.102493083,8.485937276,0.003579021,0.043956696,B4RT52 F2GAI8,30S ribosomal protein S4 {ECO:0000255|HAMAP-Rule:MF_01306},, PF00163;PF01479;, GO:0015935;GO:0019843;GO:0003735;GO:0006412;,  C:small ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_1150745,binary.seasonlate.and.fall,-7.107536211,3.577260861,9.457419576,0.002102967,0.027959593,,,, , , , , 
contig-60_5341677,binary.seasonlate.and.fall,-7.094035455,3.760933583,8.319760948,0.003921608,0.047263502,Q4FM64,1-deoxy-D-xylulose 5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183},1-deoxyxylulose-5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183};2-C-methyl-D-erythritol 4-phosphate synthase {ECO:0000255|HAMAP-Rule:MF_00183};, PF08436;PF02670;PF13288;, GO:0030604;GO:0046872;GO:0070402;GO:0019288;GO:0016114;, ,  F:1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; F:metal ion binding; F:NADPH binding;,"  P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; P:terpenoid biosynthetic process;"
contig-60_2036121,binary.seasonlate.and.fall,-7.091302638,3.628034837,12.29384223,0.000454455,0.007317915,,,, , , , , 
contig-60_651393,binary.seasonlate.and.fall,-7.077364223,3.825606116,13.30439174,0.000264785,0.004495057,,,, , , , , 
contig-60_2144038,binary.seasonlate.and.fall,-7.071145377,3.489664787,8.540722975,0.003472877,0.042958059,P50975,NADH-quinone oxidoreductase subunit J,NADH dehydrogenase I subunit J;NDH-1 subunit J;, PF00499;, GO:0016021;GO:0042717;GO:0008137;GO:0048038;,  C:integral component of membrane; C:plasma membrane-derived chromatophore membrane;,  F:NADH dehydrogenase (ubiquinone) activity; F:quinone binding;, 
contig-60_492495,binary.seasonlate.and.fall,-7.061662816,5.420544291,8.788787256,0.003030877,0.038253761,B4S094 F2G5N7,50S ribosomal protein L2 {ECO:0000255|HAMAP-Rule:MF_01320},, PF00181;PF03947;, GO:0015934;GO:0019843;GO:0003735;GO:0016740;GO:0006412;,  C:large ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome; F:transferase activity;,  P:translation;
contig-60_448914,binary.seasonlate.and.fall,-7.026663941,3.830437882,10.80143188,0.001014216,0.014847763,O84735,Riboflavin biosynthesis protein RibD,, PF00383;PF01872;, GO:0008703;GO:0008835;GO:0050661;GO:0008270;GO:0009231;, ,  F:5-amino-6-(5-phosphoribosylamino)uracil reductase activity; F:diaminohydroxyphosphoribosylaminopyrimidine deaminase activity; F:NADP binding; F:zinc ion binding;,  P:riboflavin biosynthetic process;
contig-60_6676661,binary.seasonlate.and.fall,-6.990176126,4.163120586,9.847665051,0.001700475,0.023199584,,,, , , , , 
contig-60_1384722,binary.seasonlate.and.fall,-6.979161876,3.304299795,10.05549927,0.001518938,0.021179151,A8LI32,Aspartate--tRNA(Asp/Asn) ligase {ECO:0000255|HAMAP-Rule:MF_00044},Aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044};Non-discriminating aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044};, PF02938;PF00152;PF01336;, GO:0005737;GO:0004815;GO:0050560;GO:0005524;GO:0003676;GO:0006422;,  C:cytoplasm;,  F:aspartate-tRNA ligase activity; F:aspartate-tRNA(Asn) ligase activity; F:ATP binding; F:nucleic acid binding;,  P:aspartyl-tRNA aminoacylation;
contig-60_339323,binary.seasonlate.and.fall,-6.966753291,3.36380683,9.862733762,0.001686603,0.023048605,Q9K1H0,Outer membrane protein assembly factor BamA {ECO:0000255|HAMAP-Rule:MF_01430},Outer membrane protein Omp85;, PF01103;PF07244;, GO:0009279;GO:0016021;GO:0043165;GO:0051205;,  C:cell outer membrane; C:integral component of membrane;, ,  P:Gram-negative-bacterium-type cell outer membrane assembly; P:protein insertion into membrane;
